2010	Korea	Baseline	Incidence	Rates
Male_rate_	OralCav___	Esophagus_	Stomach___	Colon_____	Rectum____	Liver_____	Gallbladd_	Pancreas__	Lung______	Breast____	Uterus____	Ovary_____	Prostate__	UrinBladd_	Kidney____	Brain_CNS_	Thyroid___	Leukemia__	Remainder_
00-00__yrs	2.0000E-01	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	4.0000E-01	0.0000E+00	0.0000E+00	1.0000E-01	0.0000E+00	0.0000E+00	0.0000E+00	1.0000E-01	0.0000E+00	1.9000E+00	2.8000E+00	0.0000E+00	7.4000E+00	1.0000E+01
01-04__yrs	2.0000E-01	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	4.0000E-01	0.0000E+00	0.0000E+00	1.0000E-01	0.0000E+00	0.0000E+00	0.0000E+00	1.0000E-01	0.0000E+00	1.9000E+00	2.8000E+00	0.0000E+00	7.4000E+00	1.0000E+01
05-09__yrs	2.0000E-01	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	2.0000E-01	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	1.0000E-01	2.5000E+00	1.0000E-01	4.1000E+00	3.8000E+00
10-14__yrs	3.0000E-01	0.0000E+00	0.0000E+00	1.0000E-01	1.0000E-01	1.0000E-01	0.0000E+00	1.0000E-01	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	2.2000E+00	3.0000E-01	4.2000E+00	5.2000E+00
15-19__yrs	5.0000E-01	0.0000E+00	2.0000E-01	3.0000E-01	1.0000E-01	2.0000E-01	0.0000E+00	0.0000E+00	1.0000E-01	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	1.0000E-01	1.0000E-01	2.1000E+00	1.5000E+00	3.5000E+00	8.7000E+00
20-24__yrs	4.0000E-01	0.0000E+00	2.0000E-01	7.0000E-01	4.0000E-01	2.0000E-01	0.0000E+00	1.0000E-01	2.0000E-01	1.0000E-01	0.0000E+00	0.0000E+00	1.0000E-01	2.0000E-01	4.0000E-01	1.3000E+00	4.0000E+00	2.9000E+00	8.3000E+00
25-29__yrs	7.0000E-01	0.0000E+00	2.4000E+00	1.3000E+00	1.5000E+00	1.4000E+00	1.0000E-01	2.0000E-01	9.0000E-01	0.0000E+00	0.0000E+00	0.0000E+00	1.0000E-01	4.0000E-01	9.0000E-01	1.6000E+00	1.2600E+01	2.6000E+00	9.6000E+00
30-34__yrs	1.5000E+00	1.0000E-01	6.9000E+00	2.7000E+00	3.6000E+00	3.3000E+00	3.0000E-01	5.0000E-01	1.7000E+00	1.0000E-01	0.0000E+00	0.0000E+00	1.0000E-01	6.0000E-01	3.0000E+00	1.9000E+00	2.4800E+01	3.3000E+00	1.2300E+01
35-39__yrs	2.2000E+00	0.0000E+00	1.6300E+01	5.4000E+00	8.6000E+00	8.9000E+00	1.0000E+00	8.0000E-01	3.5000E+00	0.0000E+00	0.0000E+00	0.0000E+00	1.0000E-01	1.5000E+00	4.8000E+00	2.7000E+00	3.6600E+01	3.1000E+00	1.5200E+01
40-44__yrs	3.5000E+00	9.0000E-01	3.9300E+01	1.0900E+01	1.2900E+01	2.5800E+01	1.3000E+00	2.2000E+00	7.5000E+00	2.0000E-01	0.0000E+00	0.0000E+00	1.0000E+00	2.5000E+00	8.0000E+00	2.7000E+00	4.2700E+01	3.1000E+00	1.7500E+01
