2010	Japan	Baseline	Incidence	Rates
Male_rate_	OralCav___	Esophagus_	Stomach___	Colon_____	Rectum____	Liver_____	Gallbladd_	Pancreas__	Lung______	Breast____	Uterus____	Ovary_____	Prostate__	UrinBladd_	Kidney____	Brain_CNS_	Thyroid___	Leukemia__	Remainder_
00-00__yrs	1.0000E-01	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	6.0000E-01	0.0000E+00	0.0000E+00	1.0000E-01	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	1.0000E-01	9.0000E-01	1.7000E+00	0.0000E+00	6.8000E+00	0.0000E+00
01-04__yrs	1.0000E-01	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	6.0000E-01	0.0000E+00	0.0000E+00	1.0000E-01	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	1.0000E-01	9.0000E-01	1.7000E+00	0.0000E+00	6.8000E+00	0.0000E+00
05-09__yrs	1.0000E-01	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	1.0000E-01	1.5000E+00	0.0000E+00	4.1000E+00	0.0000E+00
10-14__yrs	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	1.0000E-01	0.0000E+00	0.0000E+00	1.0000E-01	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	3.0000E-01	2.2000E+00	0.0000E+00	2.9000E+00	0.0000E+00
15-19__yrs	2.0000E-01	1.0000E-01	0.0000E+00	1.0000E-01	0.0000E+00	1.0000E-01	0.0000E+00	0.0000E+00	3.0000E-01	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	1.0000E-01	2.0000E-01	1.7000E+00	4.0000E-01	3.8000E+00	0.0000E+00
20-24__yrs	9.0000E-01	0.0000E+00	5.0000E-01	9.0000E-01	1.0000E-01	2.0000E-01	0.0000E+00	1.0000E-01	4.0000E-01	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	1.0000E-01	7.0000E-01	2.1000E+00	1.2000E+00	3.5000E+00	0.0000E+00
25-29__yrs	8.0000E-01	0.0000E+00	1.9000E+00	1.4000E+00	4.0000E-01	4.0000E-01	1.0000E-01	0.0000E+00	9.0000E-01	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	1.0000E-01	4.0000E-01	1.3000E+00	2.2000E+00	3.8000E+00	0.0000E+00
30-34__yrs	2.1000E+00	1.0000E-01	3.4000E+00	2.0000E+00	1.7000E+00	5.0000E-01	4.0000E-01	5.0000E-01	1.6000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	4.0000E-01	8.0000E-01	1.5000E+00	3.4000E+00	2.5000E+00	0.0000E+00
35-39__yrs	2.9000E+00	5.0000E-01	8.1000E+00	5.4000E+00	4.9000E+00	1.8000E+00	5.0000E-01	1.1000E+00	3.7000E+00	0.0000E+00	0.0000E+00	0.0000E+00	2.0000E-01	1.0000E+00	3.3000E+00	2.9000E+00	3.0000E+00	4.3000E+00	0.0000E+00
40-44__yrs	4.6000E+00	1.9000E+00	1.4600E+01	1.2000E+01	1.0300E+01	4.2000E+00	8.0000E-01	3.0000E+00	7.7000E+00	0.0000E+00	0.0000E+00	0.0000E+00	3.0000E-01	2.1000E+00	7.7000E+00	1.8000E+00	4.9000E+00	3.9000E+00	0.0000E+00
