2000-2005	SEER	Baseline	Incidence	Rates
Male_rate_	OralCav___	Esophagus_	Stomach___	Colon_____	Rectum____	Liver_____	Gallbladd_	Pancreas__	Lung______	Breast____	Uterus____	Ovary_____	Prostate__	UrinBladd_	Kidney____	Brain_CNS_	Thyroid___	Leukemia__	Remainder_
00-00__yrs	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	2.3000E+00	2.1500E+00	0.0000E+00	1.8000E+00	7.7500E+00
01-04__yrs	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	6.0000E-01	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	1.0000E-01	1.7000E+00	2.8500E+00	0.0000E+00	7.3500E+00	2.3500E+00
05-09__yrs	1.5000E-01	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	3.5000E-01	3.3000E+00	0.0000E+00	2.7000E+00	1.2000E+00
10-14__yrs	0.0000E+00	0.0000E+00	0.0000E+00	4.5000E-01	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	1.5000E-01	2.3500E+00	1.0000E-01	2.2500E+00	1.9000E+00
15-19__yrs	3.0000E-01	0.0000E+00	1.0000E-01	9.0000E-01	1.0000E-01	0.0000E+00	0.0000E+00	1.0000E-01	1.0000E-01	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	2.0000E-01	2.8000E+00	5.5000E-01	2.4000E+00	7.0500E+00
20-24__yrs	4.5000E-01	0.0000E+00	0.0000E+00	1.4500E+00	1.0000E-01	1.0000E-01	0.0000E+00	0.0000E+00	2.5000E-01	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	1.0000E-01	2.5000E-01	3.6000E+00	6.5000E-01	2.0500E+00	1.4700E+01
25-29__yrs	1.0500E+00	1.0000E-01	3.0000E-01	1.9500E+00	1.0500E+00	2.0000E-01	0.0000E+00	0.0000E+00	6.0000E-01	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	1.0000E-01	5.5000E-01	4.5500E+00	1.8000E+00	1.9500E+00	2.3400E+01
30-34__yrs	2.2500E+00	5.0000E-01	7.0000E-01	3.8000E+00	2.0500E+00	4.5000E-01	0.0000E+00	2.5000E-01	8.5000E-01	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	3.0000E-01	1.3000E+00	6.2000E+00	2.0500E+00	2.5500E+00	2.8900E+01
35-39__yrs	3.6500E+00	6.5000E-01	1.3000E+00	4.3500E+00	2.9500E+00	8.0000E-01	1.0000E-01	9.0000E-01	2.2000E+00	0.0000E+00	0.0000E+00	0.0000E+00	4.5000E-01	8.0000E-01	3.3000E+00	7.3500E+00	2.7500E+00	3.0400E+00	3.0800E+01
40-44__yrs	7.5500E+00	2.6000E+00	2.7000E+00	6.7500E+00	5.5500E+00	1.1500E+00	4.5000E-01	2.2000E+00	6.3000E+00	0.0000E+00	0.0000E+00	0.0000E+00	3.3500E+00	2.0000E+00	7.2000E+00	8.0000E+00	3.4000E+00	3.4200E+00	3.4550E+01
45-49__yrs	1.7700E+01	6.6000E+00	4.3000E+00	1.2550E+01	1.2050E+01	3.2500E+00	6.5000E-01	5.0000E+00	1.4550E+01	0.0000E+00	0.0000E+00	0.0000E+00	1.7350E+01	4.4000E+00	1.2150E+01	1.0650E+01	3.3000E+00	5.0900E+00	4.2350E+01
50-54__yrs	2.7850E+01	1.5600E+01	8.0500E+00	2.3450E+01	2.4850E+01	7.3500E+00	1.5500E+00	8.9500E+00	3.4550E+01	0.0000E+00	0.0000E+00	0.0000E+00	6.2800E+01	9.7000E+00	2.0550E+01	1.4100E+01	3.2500E+00	6.9500E+00	4.9000E+01
55-59__yrs	4.3400E+01	2.6200E+01	1.4350E+01	4.3800E+01	4.4200E+01	1.3050E+01	2.9500E+00	1.6800E+01	8.2100E+01	0.0000E+00	0.0000E+00	0.0000E+00	1.7205E+02	1.9400E+01	2.9350E+01	1.9750E+01	4.0000E+00	9.1500E+00	6.8750E+01
60-64__yrs	4.6350E+01	4.4000E+01	2.3050E+01	9.0300E+01	7.3650E+01	1.8350E+01	4.8500E+00	2.8350E+01	1.4515E+02	0.0000E+00	0.0000E+00	0.0000E+00	3.3600E+02	3.7200E+01	4.6450E+01	2.5400E+01	4.2500E+00	1.4720E+01	9.8800E+01
65-69__yrs	4.4300E+01	5.9600E+01	3.6400E+01	1.3090E+02	9.5950E+01	2.7450E+01	7.1500E+00	4.2450E+01	2.2985E+02	0.0000E+00	0.0000E+00	0.0000E+00	5.6560E+02	6.7750E+01	5.7700E+01	3.1150E+01	4.8000E+00	2.2010E+01	1.3470E+02
70-74__yrs	4.6400E+01	7.6500E+01	6.2050E+01	1.9750E+02	1.2855E+02	3.7450E+01	9.7000E+00	5.8350E+01	3.6160E+02	0.0000E+00	0.0000E+00	0.0000E+00	6.9995E+02	1.0945E+02	7.6400E+01	3.6700E+01	6.3500E+00	3.0720E+01	1.7605E+02
75-79__yrs	3.9900E+01	8.8550E+01	8.8650E+01	2.5515E+02	1.4680E+02	4.8100E+01	1.5250E+01	7.6800E+01	4.3700E+02	0.0000E+00	0.0000E+00	0.0000E+00	7.9975E+02	1.5675E+02	9.3500E+01	3.9050E+01	5.8500E+00	4.0690E+01	2.0860E+02
80-84__yrs	4.0000E+01	1.0905E+02	1.1050E+02	3.1770E+02	1.6460E+02	5.8500E+01	1.6200E+01	9.4150E+01	5.1425E+02	0.0000E+00	0.0000E+00	0.0000E+00	7.2395E+02	2.0955E+02	1.0455E+02	4.7150E+01	5.6500E+00	5.3230E+01	2.3890E+02
>=85___yrs	2.5380E+01	6.1730E+01	6.0550E+01	1.8249E+02	7.9850E+01	2.7180E+01	1.0160E+01	5.6490E+01	2.8668E+02	0.0000E+00	0.0000E+00	0.0000E+00	4.0999E+02	1.3643E+02	5.2930E+01	2.5040E+01	2.3900E+00	3.2340E+01	1.3661E+02
Male_se___	OralCav___	Esophagus_	Stomach___	Colon_____	Rectum____	Liver_____	Gallbladd_	Pancreas__	Lung______	Breast____	Uterus____	Ovary_____	Prostate__	UrinBladd_	Kidney____	Brain_CNS_	Thyroid___	Leukemia__	Remainder_
